"sk_local","cidade","estado","pais"
1,"Aracaju","","Brasil"
58,"Florianópolis","Centro de Florianópolis","Brasil"
60,"Florianópolis","Lagoa da Conceição","Brasil"
61,"Florianópolis","Praia dos Ingleses","Brasil"
64,"Florianópolis","Jurerê","Brasil"
65,"Florianópolis","Barra da Lagoa","Brasil"
68,"Florianópolis","","Brasil"
70,"Florianópolis","Canasvieiras","Brasil"
75,"Florianópolis","Campeche","Brasil"
86,"Florianópolis","Jurere Leste","Brasil"
104,"Florianópolis","Cachoeira do Bom Jesus","Brasil"
107,"Florianópolis","Ponta das Canas","Brasil"
109,"Florianópolis","Praia Brava","Brasil"
111,"Florianópolis","Armação","Brasil"
132,"Gramado","","Brasil"
141,"Gramado","Avenida Central","Brasil"
143,"Gramado","Centro de Gramado","Brasil"
207,"Kyoto","Shimogyo Ward","Japan"
208,"Kyoto","Higashiyama Ward","Japan"
209,"Kyoto","Minami Ward","Japan"
210,"Kyoto","Nakagyo Ward","Japan"
214,"Kyoto","Kamigyo Ward","Japan"
234,"Kyoto","Sakyo Ward","Japan"
261,"Kyoto","Fushimi Ward","Japan"
283,"São Paulo","Bairro do Itaim Bibi","Brasil"
284,"São Paulo","Vila Mariana","Brasil"
285,"São Paulo","Brás","Brasil"
287,"São Paulo","República","Brasil"
288,"São Paulo","Campo Belo","Brasil"
289,"São Paulo","Penha","Brasil"
294,"São Paulo","Consolação","Brasil"
301,"São Paulo","Perdizes","Brasil"
302,"São Paulo","Santana","Brasil"
303,"São Paulo","Jardim Paulista","Brasil"
306,"São Paulo","Pinheiros","Brasil"
307,"São Paulo","Saúde","Brasil"
309,"São Paulo","Sé","Brasil"
310,"São Paulo","Bom Retiro","Brasil"
312,"São Paulo","Vila Guilherme","Brasil"
315,"São Paulo","","Brasil"
316,"São Paulo","Bela Vista","Brasil"
317,"São Paulo","Moema","Brasil"
320,"São Paulo","Barra Funda","Brasil"
321,"São Paulo","Mooca","Brasil"
324,"São Paulo","Santo Amaro","Brasil"
344,"São Paulo","Tatuapé","Brasil"
346,"São Paulo","Vila Andrade","Brasil"
352,"São Paulo","Pari","Brasil"
